DEBUG stats: genes_all=2538 genes_used=2538 mapped=2538 unmapped=0 nclusters=15 native_cluster=1 native_size=1705
         14486965 function calls (14345253 primitive calls) in 17.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
  387/257    0.001    0.000    0.021    0.000 typing.py:426(inner)
        1    0.001    0.001    0.009    0.009 core.py:1(<module>)
       87    0.001    0.000    0.001    0.000 typing.py:1828(__hash__)
      607    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
      494    0.001    0.000    0.001    0.000 _docscrape.py:188(_strip)
       36    0.001    0.000    0.003    0.000 enum.py:499(__new__)
      817    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       15    0.001    0.000    0.007    0.000 dataclasses.py:929(_process_class)
     4297    0.000    0.000    0.000    0.000 <frozen codecs>:334(getstate)
     2232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     2043    0.000    0.000    0.001    0.000 _parser.py:292(tell)
      512    0.000    0.000    0.001    0.000 enum.py:830(__setattr__)
      172    0.000    0.000    0.001    0.000 enum.py:355(__setitem__)
     1129    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
     1220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       18    0.000    0.000    0.002    0.000 typing.py:3013(__new__)
      742    0.000    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
      628    0.000    0.000    0.003    0.000 _docscrape.py:573(dedent_lines)
     1358    0.000    0.000    0.001    0.000 copy.py:192(_deepcopy_list)
     3610    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      550    0.000    0.000    0.002    0.000 _inspect.py:97(getargspec)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
      155    0.000    0.000    0.024    0.000 _parser.py:970(parse)
     1325    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      811    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      788    0.000    0.000    0.001    0.000 enum.py:696(__call__)
      743    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       97    0.000    0.000    0.004    0.000 _docscrape.py:599(__str__)
      615    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      605    0.000    0.000    0.001    0.000 typing.py:1373(__getattr__)
     2611    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      470    0.000    0.000    0.001    0.000 _array_api.py:684(__str__)
     1844    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      350    0.000    0.000    0.013    0.000 function_base.py:474(_add_docstring)
     1812    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      754    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
     2537    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      558    0.000    0.000    0.003    0.000 __init__.py:183(sub)
       86    0.000    0.000    0.005    0.000 typing.py:753(Union)
      609    0.000    0.000    0.001    0.000 _docscrape.py:86(is_unindented)
      717    0.000    0.000    0.000    0.000 glob.py:179(_iterdir)
      972    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      688    0.000    0.000    0.000    0.000 inspect.py:3103(<genexpr>)
      743    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      415    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
     3122    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
      149    0.000    0.000    0.001    0.000 enum.py:1608(__and__)
       97    0.000    0.000    0.001    0.000 _docscrape.py:499(_str_see_also)
       92    0.000    0.000    0.000    0.000 _array_api.py:690(_make_sphinx_capabilities)
      680    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      331    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      388    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      183    0.000    0.000    0.001    0.000 <frozen posixpath>:72(join)
      747    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1805    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      607    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
     1900    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       14    0.000    0.000    0.001    0.000 typing.py:3157(__new__)
   146/59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       81    0.000    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       97    0.000    0.000    0.006    0.000 inspect.py:876(getdoc)
       97    0.000    0.000    0.043    0.000 _docscrape.py:140(__init__)
     2445    0.000    0.000    0.000    0.000 typing.py:1442(<genexpr>)
       94    0.000    0.000    0.003    0.000 _array_api.py:744(_make_capabilities_note)
       62    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
      693    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      419    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
   105/33    0.000    0.000    0.007    0.000 typing.py:1467(__getitem__)
      607    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       14    0.000    0.000    0.002    0.000 core.py:120(doc_note)
   105/33    0.000    0.000    0.004    0.000 typing.py:1498(_determine_new_args)
      147    0.000    0.000    0.000    0.000 inspect.py:177(get_annotations)
       97    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
       28    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
     1830    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      815    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
     1660    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      815    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
     2755    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      747    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      189    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      586    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.001    0.001 _stats_distributions.py:1(<module>)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:1(<module>)
      490    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
       58    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
     1064    0.000    0.000    0.000    0.000 _docscrape.py:403(<genexpr>)
      189    0.000    0.000    0.000    0.000 inspect.py:768(unwrap)
      840    0.000    0.000    0.000    0.000 _docscrape.py:156(__setitem__)
     1267    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.186    0.186 _support_alternative_backends.py:1(<module>)
     3755    0.000    0.000    0.000    0.000 gene.py:9(length_nt)
      148    0.000    0.000    0.001    0.000 tokenize.py:466(tokenize)
  174/146    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       37    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      785    0.000    0.000    0.000    0.000 enum.py:1157(__new__)
