         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      749    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
     1944    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      715    0.001    0.000    0.001    0.000 CodonTable.py:286(<genexpr>)
     6186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
   198/95    0.001    0.000    0.007    0.000 copy.py:218(_deepcopy_dict)
      846    0.001    0.000    0.001    0.000 _docscrape.py:475(_str_param_list)
      775    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     4862    0.001    0.000    0.001    0.000 typing.py:1818(<genexpr>)
      610    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      693    0.001    0.000    0.001    0.000 CodonTable.py:296(<genexpr>)
     1615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      749    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
      458    0.001    0.000    0.001    0.000 CodonTable.py:291(<genexpr>)
      644    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      644    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
       27    0.001    0.000    0.016    0.001 CodonTable.py:493(register_ncbi_table)
     1106    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      310    0.001    0.000    0.011    0.000 overrides.py:145(decorator)
      550    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
       99    0.001    0.000    0.008    0.000 typing.py:812(Literal)
      625    0.001    0.000    0.004    0.000 {built-in method builtins.sorted}
     4712    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      832    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      301    0.001    0.000    0.002    0.000 enum.py:355(__setitem__)
      784    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
       16    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      234    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      576    0.001    0.000    0.014    0.000 _docscrape.py:212(_read_sections)
        1    0.001    0.001    0.001    0.001 helpers.py:528(call_genomic_islands_like_jscb_py)
      155    0.001    0.000    0.052    0.000 _parser.py:970(parse)
       46    0.001    0.000    0.004    0.000 enum.py:499(__new__)
      275    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
        1    0.001    0.001    0.008    0.008 core.py:1(<module>)
     1496    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
     3051    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      508    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      600    0.001    0.000    0.004    0.000 _docscrape.py:573(dedent_lines)
     2140    0.001    0.000    0.001    0.000 _parser.py:292(tell)
      644    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
     3679    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      783    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1186    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      155    0.001    0.000    0.076    0.000 _compiler.py:743(compile)
       94    0.001    0.000    0.007    0.000 _docscrape.py:366(_parse_summary)
       19    0.001    0.000    0.003    0.000 typing.py:3013(__new__)
