         14070320 function calls (13931903 primitive calls) in 6.447 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       81    0.000    0.000    0.016    0.000 CodonTable.py:202(__init__)
       83    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
      151    0.000    0.000    0.000    0.000 inspect.py:768(unwrap)
      550    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
      440    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.019    0.019 CodonTable.py:1(<module>)
      799    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
  154/129    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      910    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
