tests/CP116442.gbk
         16645481 function calls (16517950 primitive calls) in 6.637 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      123    0.000    0.000    0.000    0.000 enum.py:696(__call__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.008    0.008 numerictypes.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:929(_process_class)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       81    0.000    0.000    0.000    0.000 CodonTable.py:57(__init__)
        1    0.000    0.000    0.000    0.000 QualityIO.py:1234(FastqSolexaIterator)
       27    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      379    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       19    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      132    0.000    0.000    0.000    0.000 enum.py:1590(_get_value)
       10    0.000    0.000    2.208    0.221 Scanner.py:500(parse_records)
      292    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      383    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      441    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    55/41    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
      420    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       26    0.000    0.000    0.000    0.000 inspect.py:3056(__init__)
       43    0.000    0.000    0.004    0.000 _compiler.py:576(_code)
      386    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       27    0.000    0.000    0.000    0.000 __init__.py:607(_split_reference_locations)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
        3    0.000    0.000    0.000    0.000 IUPACData.py:193(_make_ambiguous_ranges)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      106    0.000    0.000    0.000    0.000 typing.py:1134(_typevar_subst)
      302    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       12    0.000    0.000    0.000    0.000 typing.py:1210(_generic_class_getitem)
      106    0.000    0.000    0.001    0.000 __init__.py:164(match)
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       81    0.000    0.000    0.001    0.000 CodonTable.py:170(__init__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.001    0.001 dbapi2.py:1(<module>)
        1    0.000    0.000    0.029    0.029 request.py:1(<module>)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
      167    0.000    0.000    0.000    0.000 QualityIO.py:493(phred_quality_from_solexa)
       69    0.000    0.000    0.000    0.000 typing.py:1788(__hash__)
        5    0.000    0.000    0.000    0.000 Scanner.py:1243(_feed_first_line)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       27    0.000    0.000    0.000    0.000 inspect.py:177(get_annotations)
    30/28    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1315(create_module)
       25    0.000    0.000    0.000    0.000 enum.py:355(__setitem__)
      424    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       45    0.000    0.000    0.000    0.000 InsdcIO.py:523(_split_multi_line)
      123    0.000    0.000    0.000    0.000 enum.py:1157(__new__)
       57    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      105    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2750(extend_all)
      242    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      104    0.000    0.000    0.000    0.000 inspect.py:3103(<genexpr>)
