tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.001    0.000    0.004    0.000 enum.py:899(_convert_)
     1761    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1118    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      401    0.001    0.000    0.001    0.000 _parser.py:85(opengroup)
      132    0.001    0.000    0.002    0.000 _compiler.py:514(_compile_info)
     1888    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     1143    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       74    0.001    0.000    0.002    0.000 _docscrape.py:290(_parse_see_also)
      567    0.001    0.000    0.001    0.000 inspect.py:2768(__init__)
      542    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     3838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       34    0.001    0.000    0.003    0.000 enum.py:499(__new__)
      228    0.001    0.000    0.001    0.000 inspect.py:3056(__init__)
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
       44    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     4534    0.001    0.000    0.001    0.000 typing.py:1818(<genexpr>)
      739    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     6992    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     1514    0.001    0.000    0.001    0.000 copy.py:232(_keep_alive)
      736    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
   105/33    0.001    0.000    0.003    0.000 typing.py:1527(_make_substitution)
       94    0.001    0.000    0.004    0.000 _docscrape.py:599(__str__)
   506/16    0.001    0.000    0.360    0.023 {built-in method builtins.__import__}
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
       55    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
      419    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       94    0.000    0.000    0.052    0.001 _array_api.py:840(decorator)
      167    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       72    0.000    0.000    0.001    0.000 enum.py:252(__set_name__)
      132    0.000    0.000    0.020    0.000 _compiler.py:576(_code)
      550    0.000    0.000    0.002    0.000 _inspect.py:97(getargspec)
       57    0.000    0.000    0.005    0.000 typing.py:812(Literal)
      482    0.000    0.000    0.001    0.000 _docscrape.py:188(_strip)
       15    0.000    0.000    0.002    0.000 typing.py:3013(__new__)
     1865    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      158    0.000    0.000    0.001    0.000 enum.py:355(__setitem__)
      739    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       82    0.000    0.000    0.001    0.000 typing.py:1828(__hash__)
      350    0.000    0.000    0.020    0.000 function_base.py:474(_add_docstring)
      600    0.000    0.000    0.003    0.000 _docscrape.py:573(dedent_lines)
     1316    0.000    0.000    0.001    0.000 copy.py:192(_deepcopy_list)
     2482    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      660    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
     1460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      458    0.000    0.000    0.000    0.000 enum.py:830(__setattr__)
     2613    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      132    0.000    0.000    0.030    0.000 _parser.py:970(parse)
      605    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.005    0.005 core.py:1(<module>)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      441    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
   105/33    0.000    0.000    0.004    0.000 typing.py:1498(_determine_new_args)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
